order_date,product,category,region,channel,sales_rep,units,unit_price,discount,revenue
2025-01-01,Aurora Laptop 14,Laptops,East,Online,L. Dubois,7,1299.0,0.15,8888.41
2025-01-01,Aurora Laptop 16,Laptops,West,Online,A. Rahman,10,1699.0,0,19538.5
2025-01-02,Nimbus Tablet Mini,Tablets,North,Partner,K. Tanaka,9,429.0,0.1,2779.92
2025-01-02,Nimbus Tablet Mini,Tablets,West,Partner,A. Rahman,9,429.0,0,3088.8
2025-01-02,Nimbus Tablet 11,Tablets,West,Retail,A. Rahman,5,649.0,0,2920.5
2025-01-03,Vertex Monitor 27,Displays,North,Retail,L. Dubois,10,379.0,0,3411.0
2025-01-03,Pulse Headphones,Audio,North,Partner,A. Rahman,5,249.0,0.05,946.2
2025-01-04,Pulse Headphones,Audio,East,Partner,A. Rahman,4,249.0,0,796.8
2025-01-04,Aurora Laptop 14,Laptops,South,Retail,K. Tanaka,7,1299.0,0,8183.7
2025-01-04,Pulse Headphones,Audio,West,Partner,J. Okafor,3,249.0,0,597.6
2025-01-04,Pulse Earbuds,Audio,East,Online,A. Rahman,2,129.0,0.15,252.19
2025-01-04,Cobalt Mouse,Accessories,South,Partner,J. Okafor,1,59.0,0.15,40.12
2025-01-04,Nimbus Tablet 11,Tablets,West,Retail,L. Dubois,3,649.0,0.15,1489.46
2025-01-05,Pulse Earbuds,Audio,North,Online,M. Silva,11,129.0,0,1631.85
2025-01-05,Vertex Monitor 27,Displays,East,Online,M. Silva,5,379.0,0.15,1852.36
2025-01-05,Nimbus Tablet Mini,Tablets,West,Retail,K. Tanaka,8,429.0,0.15,2625.48
2025-01-06,Pulse Headphones,Audio,South,Online,L. Dubois,5,249.0,0.15,1216.99
2025-01-06,Vertex Monitor 27,Displays,West,Retail,J. Okafor,2,379.0,0,682.2
2025-01-06,Cobalt Keyboard,Accessories,West,Online,J. Okafor,5,89.0,0,511.75
2025-01-07,Cobalt Mouse,Accessories,North,Retail,L. Dubois,1,59.0,0.05,50.45
2025-01-07,Vertex Monitor 32,Displays,East,Partner,A. Rahman,6,549.0,0.15,2239.92
2025-01-07,Cobalt Keyboard,Accessories,East,Partner,A. Rahman,5,89.0,0,356.0
2025-01-07,Pulse Headphones,Audio,West,Online,M. Silva,1,249.0,0.15,243.4
2025-01-07,Cobalt Keyboard,Accessories,South,Partner,M. Silva,6,89.0,0,427.2
2025-01-08,Cobalt Mouse,Accessories,South,Online,A. Rahman,4,59.0,0.1,244.26
2025-01-08,Cobalt Mouse,Accessories,East,Retail,A. Rahman,7,59.0,0,371.7
2025-01-08,Pulse Earbuds,Audio,East,Online,A. Rahman,12,129.0,0,1780.2
2025-01-08,Vertex Monitor 32,Displays,North,Partner,J. Okafor,10,549.0,0,4392.0
2025-01-08,Vertex Monitor 32,Displays,South,Retail,L. Dubois,1,549.0,0,494.1
2025-01-08,Nimbus Tablet Mini,Tablets,East,Retail,M. Silva,5,429.0,0.15,1640.92
2025-01-09,Cobalt Keyboard,Accessories,West,Online,L. Dubois,5,89.0,0,511.75
2025-01-09,Cobalt Keyboard,Accessories,South,Partner,A. Rahman,6,89.0,0,427.2
2025-01-09,Aurora Laptop 16,Laptops,North,Online,A. Rahman,8,1699.0,0,15630.8
2025-01-09,Cobalt Keyboard,Accessories,South,Retail,K. Tanaka,5,89.0,0.15,340.43
2025-01-09,Nimbus Tablet Mini,Tablets,South,Partner,J. Okafor,8,429.0,0.05,2608.32
2025-01-10,Vertex Monitor 27,Displays,South,Online,K. Tanaka,3,379.0,0,1307.55
2025-01-10,Pulse Earbuds,Audio,West,Retail,A. Rahman,1,129.0,0.15,98.68
2025-01-10,Aurora Laptop 14,Laptops,West,Partner,A. Rahman,6,1299.0,0,6235.2
2025-01-10,Nimbus Tablet Mini,Tablets,South,Online,M. Silva,3,429.0,0,1480.05
2025-01-10,Vertex Monitor 32,Displays,South,Online,L. Dubois,4,549.0,0.05,2399.13
2025-01-11,Aurora Laptop 14,Laptops,North,Online,K. Tanaka,9,1299.0,0,13444.65
2025-01-11,Vertex Monitor 32,Displays,West,Online,A. Rahman,2,549.0,0.05,1199.56
2025-01-12,Vertex Monitor 27,Displays,North,Retail,M. Silva,4,379.0,0.05,1296.18
2025-01-12,Vertex Monitor 27,Displays,West,Online,M. Silva,7,379.0,0,3050.95
2025-01-12,Nimbus Tablet Mini,Tablets,North,Partner,A. Rahman,5,429.0,0,1716.0
2025-01-13,Cobalt Mouse,Accessories,West,Partner,J. Okafor,4,59.0,0.1,169.92
2025-01-13,Aurora Laptop 14,Laptops,North,Online,K. Tanaka,8,1299.0,0,11950.8
2025-01-14,Cobalt Mouse,Accessories,South,Partner,A. Rahman,5,59.0,0.1,212.4
2025-01-14,Cobalt Mouse,Accessories,North,Retail,M. Silva,4,59.0,0,212.4
2025-01-15,Pulse Earbuds,Audio,South,Retail,J. Okafor,2,129.0,0.05,220.59
2025-01-15,Pulse Headphones,Audio,West,Retail,K. Tanaka,11,249.0,0,2465.1
2025-01-15,Cobalt Mouse,Accessories,North,Online,J. Okafor,3,59.0,0.1,183.19
2025-01-16,Pulse Headphones,Audio,South,Retail,M. Silva,8,249.0,0,1792.8
2025-01-16,Nimbus Tablet 11,Tablets,West,Partner,M. Silva,1,649.0,0.15,441.32
2025-01-16,Cobalt Mouse,Accessories,North,Partner,A. Rahman,8,59.0,0.15,320.96
2025-01-16,Nimbus Tablet 11,Tablets,East,Online,L. Dubois,3,649.0,0,2239.05
2025-01-16,Nimbus Tablet 11,Tablets,East,Retail,M. Silva,2,649.0,0,1168.2
2025-01-16,Cobalt Keyboard,Accessories,West,Retail,A. Rahman,2,89.0,0,160.2
2025-01-17,Pulse Headphones,Audio,North,Online,J. Okafor,6,249.0,0,1718.1
2025-01-17,Vertex Monitor 32,Displays,West,Partner,A. Rahman,7,549.0,0,3074.4
2025-01-17,Aurora Laptop 16,Laptops,South,Partner,J. Okafor,7,1699.0,0.1,8562.96
2025-01-17,Vertex Monitor 27,Displays,South,Online,M. Silva,5,379.0,0,2179.25
2025-01-17,Aurora Laptop 14,Laptops,East,Online,L. Dubois,4,1299.0,0,5975.4
